gt_raw_name,normalized,wcvp_accepted_binomial,match_tier,n_gt_crowns,in_corpus_vocabulary
Lindackeria laurina,lindackeria laurina,,a_exact_binomial,1,True
Macfadyena unguis-cati,macfadyena unguis-cati,dolichandra unguis-cati,d_wcvp_synonym,1,True
Mangifera indica,mangifera indica,,a_exact_binomial,1,True
Margaritaria nobilis,margaritaria nobilis,,a_exact_binomial,1,True
Martinella obovata,martinella obovata,,a_exact_binomial,1,True
Mascagnia,mascagnia,,c_gt_label_is_genus_only,1,False
Miconia,miconia,,c_gt_label_is_genus_only,1,False
Ocotea puberula,ocotea puberula,,a_exact_binomial,1,True
Ocotea whitei,ocotea whitei,,c_genus_only_in_corpus,1,False
Ormosia macrocalyx,ormosia macrocalyx,,a_exact_binomial,1,True
Passiflora auriculata,passiflora auriculata,,c_genus_only_in_corpus,1,False
Paullinia bracteosa,paullinia bracteosa,,a_exact_binomial,1,True
Phyllanthaceae,phyllanthaceae,,c_gt_label_is_genus_only,1,False
Platymiscium pinnatum,platymiscium pinnatum,,a_exact_binomial,1,True
Pochota quinata,pochota quinata,bombax ceiba,d_wcvp_synonym,1,True
Pterocarpus rohrii,pterocarpus rohrii,,a_exact_binomial,1,True
Quararibea pterocalyx,quararibea pterocalyx,,c_genus_only_in_corpus,1,False
Schizolobium parahyba,schizolobium parahyba,,e_absent_from_corpus,1,False
Schnella guianensis,schnella guianensis,,c_genus_only_in_corpus,1,False
Serjania,serjania,,c_gt_label_is_genus_only,1,False
Souroubea sympetala,souroubea sympetala,,a_exact_binomial,1,True
Sterculia,sterculia,,c_gt_label_is_genus_only,1,False
Swartzia simplex var. continentalis,swartzia simplex,,b_normalized,1,True
Swartzia simplex var. grandiflora,swartzia simplex,,b_normalized,1,True
Tanaecium,tanaecium,,c_gt_label_is_genus_only,1,False
Tetracera portobellensis,tetracera portobellensis,,a_exact_binomial,1,True
Tetrapterys tinifolia,tetrapterys tinifolia,,c_genus_only_in_corpus,1,False
Tontelea ovalifolia_subsp._richardii,tontelea ovalifolia,tontelea passiflora,d_wcvp_synonym,1,True
Trichospermum galeottii,trichospermum galeottii,trichospermum mexicanum,d_wcvp_synonym,1,True
Turpinia occidentalis,turpinia occidentalis,,a_exact_binomial,1,True
Vismia macrophylla,vismia macrophylla,,a_exact_binomial,1,True
Vitis tiliifolia,vitis tiliifolia,,a_exact_binomial,1,True
