queue,global_key,split,predicted_species,confidence,species_labelled_crowns,species_top1_accuracy,novelty_rank,batch_id
normal,comb_DJI_20241226123019_0034_V_2840zoom.JPG,,terminalia amazonia,0.643430,85,0.7412,2058,32
normal,comb_DJI_20250110155549_0038_V_43zoom.JPG,,anacardium excelsum,0.777930,392,0.9286,2059,17
normal,comb_DJI_20250520100617_0032_V_161zoom.JPG,,calophyllum longifolium,0.792400,43,0.8837,2061,40
normal,comb_DJI_20250523101043_0045_V_23zoom.JPG,,brosimum alicastrum,0.160910,35,0.8571,2064,47
normal,comb_DJI_20250520120136_0044_V_88zoom.JPG,,simarouba amara,0.127760,42,0.8095,2066,49
normal,comb_DJI_20241101093332_0018_V_952zoom.JPG,,davilla nitida,0.547160,21,0.7619,2067,42
normal,comb_DJI_20260114121118_0039_V_1361zoom.JPG,,jacaranda copaia,0.748410,118,0.9407,2068,23
normal,comb_DJI_20241202114327_0012_V_211zoom.JPG,,davilla nitida,0.705140,21,0.7619,2069,42
normal,comb_DJI_20251010083030_0025_V_2392zoom.JPG,,davilla nitida,0.673750,21,0.7619,2075,42
normal,comb_DJI_20251015133321_0015_V_5448zoom.JPG,,apeiba membranacea,0.031110,40,0.7750,2079,41
normal,comb_DJI_20251014112143_0001_V_6331zoom.JPG,,davilla nitida,0.287110,21,0.7619,2081,42
normal,comb_DJI_20250110162418_0030_V_84zoom.JPG,,fridericia candicans,0.254320,40,0.8250,2082,44
normal,comb_DJI_20260320102232_0051_V_3753tele.JPG,,uncaria tomentosa,0.796010,53,0.7170,2083,39
normal,comb_DJI_20250106093420_0018_V_6545zoom.JPG,,uncaria tomentosa,0.573590,53,0.7170,2094,39
normal,comb_DJI_20241126103811_0052_V_620zoom.JPG,,protium stevensonii,0.420070,45,0.7333,2099,33
normal,comb_DJI_20250523102424_0009_V_54zoom.JPG,,brosimum alicastrum,0.112240,35,0.8571,2100,47
normal,comb_DJI_20250807105128_0005_V_6431zoom.JPG,,protium stevensonii,0.185440,45,0.7333,2102,33
normal,comb_DJI_20251014113837_0047_V_5607zoom.JPG,,dipteryx oleifera,0.666750,281,0.9644,2103,26
normal,comb_DJI_20250806094109_0012_V_173zoom.JPG,,terminalia amazonia,0.197330,85,0.7412,2109,32
normal,comb_DJI_20241226094650_0010_V_2717zoom.JPG,,spondias radlkoferi,0.423710,11,0.8182,2110,31
normal,comb_DJI_20241202112426_0046_V_1139zoom.JPG,,fridericia candicans,0.753910,40,0.8250,2112,44
normal,comb_DJI_20250926110330_0013_V_3007zoom.JPG,,fridericia candicans,0.142250,40,0.8250,2114,44
normal,comb_DJI_20260320110307_0045_V_1026tele.JPG,,handroanthus guayacan,0.729310,86,0.9186,2115,28
normal,comb_DJI_20251016111808_0043_V_5141zoom.JPG,,prioria copaifera,0.754160,121,0.9008,2118,20
normal,comb_DJI_20240911153208_0042_V_4499zoom.JPG,,davilla nitida,0.542740,21,0.7619,2123,42
normal,comb_DJI_20250814105822_0033_V_6506zoom.JPG,,davilla nitida,0.036660,21,0.7619,2124,42
normal,comb_DJI_20250814105750_0031_V_6444zoom.JPG,,hieronyma alchorneoides,0.545630,107,0.9252,2126,24
normal,comb_DJI_20241127094958_0018_V_2382zoom.JPG,,pouteria stipitata,0.188060,20,0.8000,2127,46
normal,comb_DJI_20251009104719_0021_V_1500zoom.JPG,,protium stevensonii,0.084570,45,0.7333,2134,33
normal,comb_DJI_20250522103600_0035_V_58zoom.JPG,,simarouba amara,0.041880,42,0.8095,2136,49
normal,comb_DJI_20241124090230_0018_V_398zoom.JPG,,davilla nitida,0.474270,21,0.7619,2139,42
normal,comb_DJI_20241024132428_0020_V_1019zoom.JPG,,pouteria stipitata,0.084300,20,0.8000,2141,46
normal,comb_DJI_20251015122417_0035_V_9006zoom.JPG,,sterculia apetala,0.426940,54,0.8148,2142,40
normal,comb_DJI_20251016104408_0005_V_11442zoom.JPG,,chrysophyllum cainito,0.596040,18,0.9444,2143,28
normal,comb_DJI_20241231120230_0048_V_4976zoom.JPG,,uncaria tomentosa,0.363770,53,0.7170,2145,39
normal,comb_DJI_20251010111526_0023_V_7009zoom.JPG,,oenocarpus mapora,0.659920,15,0.7333,2146,43
normal,comb_DJI_20241226130317_0040_V_3296zoom.JPG,,spondias radlkoferi,0.719960,11,0.8182,2149,31
normal,comb_DJI_20250807111203_0007_V_7696zoom.JPG,,serjania circumvallata,0.790570,16,0.8125,2151,48
normal,comb_DJI_20250930113617_0007_V_6371zoom.JPG,,anacardium excelsum,0.718440,392,0.9286,2154,17
normal,comb_DJI_20250106101825_0072_V_6849zoom.JPG,,protium stevensonii,0.434120,45,0.7333,2156,33
normal,comb_DJI_20260317083958_0017_V_9295tele.JPG,,jacaranda copaia,0.654290,118,0.9407,2160,23
normal,comb_DJI_20241204144540_0034_V_2516zoom.JPG,,protium stevensonii,0.597960,45,0.7333,2163,33
normal,comb_DJI_20241226140525_0042_V_89zoom.JPG,,fridericia candicans,0.571370,40,0.8250,2166,44
normal,comb_DJI_20260318093717_0049_V_940tele.JPG,,calophyllum longifolium,0.410400,43,0.8837,2167,40
normal,comb_DJI_20260112123148_0025_V_6088zoom.JPG,,uncaria tomentosa,0.082720,53,0.7170,2177,39
normal,comb_DJI_20250806100156_0052_V_88zoom.JPG,,davilla nitida,0.594980,21,0.7619,2178,42
normal,comb_DJI_20260317094849_0005_V_6484tele.JPG,,senegalia hayesii,0.344260,17,0.8824,2179,45
normal,comb_DJI_20251017113222_0025_V_11971zoom.JPG,,zanthoxylum ekmanii,0.595840,21,0.7143,2183,50
normal,comb_DJI_20250814142034_0003_V_4369zoom.JPG,,hieronyma alchorneoides,0.572880,107,0.9252,2184,24
normal,comb_DJI_20251017120419_0037_V_585zoom.JPG,,davilla nitida,0.207660,21,0.7619,2185,42
normal,comb_DJI_20250523085113_0007_V_121zoom.JPG,,davilla nitida,0.608940,21,0.7619,2189,42
normal,comb_DJI_20241124090422_0024_V_588zoom.JPG,,fridericia candicans,0.271080,40,0.8250,2192,44
normal,comb_DJI_20251015134126_0043_V_6299zoom.JPG,,luehea seemannii,0.755830,143,0.8741,2196,37
normal,comb_DJI_20251014111143_0043_V_6411zoom.JPG,,davilla nitida,0.581300,21,0.7619,2197,42
normal,comb_DJI_20250813084955_0019_V_9148zoom.JPG,,protium stevensonii,0.446320,45,0.7333,2198,33
normal,comb_DJI_20251009084504_0043_V_9932zoom.JPG,,davilla nitida,0.422820,21,0.7619,2201,42
normal,comb_DJI_20241124085902_0006_V_730zoom.JPG,,simarouba amara,0.040200,42,0.8095,2203,49
normal,comb_DJI_20251015134407_0053_V_7316zoom.JPG,,simarouba amara,0.424130,42,0.8095,2206,49
normal,comb_DJI_20251016102632_0041_V_1848zoom.JPG,,ficus obtusifolia,0.022630,14,0.8571,2207,49
normal,comb_DJI_20250820105242_0005_V_5153zoom.JPG,,hippocratea volubilis,0.397880,19,0.8421,2210,30
normal,comb_DJI_20240911145311_0014_V_1767zoom.JPG,,oenocarpus mapora,0.124890,15,0.7333,2211,43
normal,comb_DJI_20251009105056_0035_V_2393zoom.JPG,,simarouba amara,0.472690,42,0.8095,2212,49
normal,comb_DJI_20251016101955_0017_V_9913zoom.JPG,,terminalia amazonia,0.248730,85,0.7412,2214,32
normal,comb_DJI_20241231110544_0054_V_4991zoom.JPG,,spondias radlkoferi,0.498470,11,0.8182,2216,31
normal,comb_DJI_20241124091229_0004_V_763zoom.JPG,,spondias radlkoferi,0.122880,11,0.8182,2218,31
normal,comb_DJI_20260318093119_0027_V_536tele.JPG,,platypodium elegans,0.109530,33,0.8182,2224,45
normal,comb_DJI_20260320101116_0009_V_5542tele.JPG,,spondias radlkoferi,0.015400,11,0.8182,2231,31
normal,comb_DJI_20250930120636_0039_V_2032zoom.JPG,,platypodium elegans,0.455520,33,0.8182,2236,45
normal,comb_DJI_20251014115119_0013_V_5290zoom.JPG,,hippocratea volubilis,0.186800,19,0.8421,2240,30
normal,comb_DJI_20241127092802_0038_V_2079zoom.JPG,,alseis blackiana,0.343340,73,0.8493,2243,48
normal,comb_DJI_20241226130439_0044_V_3302zoom.JPG,,pouteria stipitata,0.758130,20,0.8000,2245,46
normal,comb_DJI_20251017113937_0049_V_9276zoom.JPG,,prioria copaifera,0.650310,121,0.9008,2248,20
normal,comb_DJI_20251014122611_0005_V_5164zoom.JPG,,hippocratea volubilis,0.084820,19,0.8421,2255,30
normal,comb_DJI_20240912095416_0044_V_2343zoom.JPG,,alseis blackiana,0.784110,73,0.8493,2259,48
normal,comb_DJI_20250930122929_0025_V_7415zoom.JPG,,protium stevensonii,0.019180,45,0.7333,2263,33
normal,comb_DJI_20250106101510_0060_V_7213zoom.JPG,,protium stevensonii,0.793620,45,0.7333,2264,34
