species,gt_raw_labels,n_labelled_frames,n_correct_top1,top1_accuracy,n_correct_top5,top5_accuracy,n_guessed_frames,precision,recall,f1,mean_top1_confidence,median_top1_confidence,p25_top1_confidence,p75_top1_confidence,iqr_top1_confidence,mean_top1_confidence_when_correct,in_corpus_vocabulary,in_project_checklist,support_bucket,status
jupunba macradenia,Abarema macradenia|Jupunba macradenia,3,0,0.0000,1,0.3333,0,0.0000,0.0000,0.0000,0.1068,0.1063,0.1059,0.1075,0.0015,,True,True,2-4,unmeasured
lafoensia punicifolia,Lafoensia punicifolia,3,0,0.0000,1,0.3333,0,0.0000,0.0000,0.0000,0.0353,0.0390,0.0289,0.0435,0.0145,,True,True,2-4,unmeasured
machaerium isadelphum,Machaerium isadelphum,3,1,0.3333,2,0.6667,2,0.5000,0.3333,0.4000,0.4894,0.4513,0.2420,0.7177,0.4757,0.4513,True,True,2-4,ranking
macrocnemum roseum,Macrocnemum roseum,3,1,0.3333,1,0.3333,2,0.5000,0.3333,0.4000,0.4071,0.2474,0.1634,0.5710,0.4076,0.8946,True,True,2-4,unmeasured
moquilea platypus,Moquilea platypus,3,1,0.3333,1,0.3333,19,0.0526,0.3333,0.0909,0.5146,0.6107,0.3199,0.7573,0.4375,0.9040,True,True,2-4,unmeasured
pouteria reticulata,Pouteria reticulata,3,2,0.6667,2,0.6667,3,0.6667,0.6667,0.6667,0.5719,0.5438,0.4133,0.7165,0.3032,0.4133,True,True,2-4,unmeasured
trema domingense,Trema domingense,3,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0346,0.0335,0.0332,0.0354,0.0021,,False,True,2-4,unreachable
vatairea erythrocarpa,Vatairea erythrocarpa,3,2,0.6667,2,0.6667,3,0.6667,0.6667,0.6667,0.3474,0.3965,0.2047,0.5146,0.3099,0.3228,True,True,2-4,unmeasured
cassipourea elliptica,Cassipourea elliptica,2,1,0.5000,1,0.5000,2,0.5000,0.5000,0.5000,0.5127,0.5127,0.3142,0.7111,0.3970,0.9096,True,True,2-4,unmeasured
coccoloba excelsa,Coccoloba excelsa,2,0,0.0000,1,0.5000,1,0.0000,0.0000,0.0000,0.6013,0.6013,0.4194,0.7831,0.3637,,True,True,2-4,unmeasured
cosmibuena macrocarpa,Cosmibuena macrocarpa,2,2,1.0000,2,1.0000,2,1.0000,1.0000,1.0000,0.4950,0.4950,0.3238,0.6662,0.3424,0.4950,True,True,2-4,unmeasured
dendropanax arboreus,Dendropanax arboreus,2,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0676,0.0676,0.0368,0.0983,0.0615,,False,False,2-4,out_of_scope
ficus matiziana,Ficus matiziana,2,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.1687,0.1687,0.1336,0.2039,0.0703,,False,False,2-4,out_of_scope
